,date,account_value
331,2020-04-27,1046633.6804467597
332,2020-04-28,1043991.5101722598
333,2020-04-29,1059239.9001023672
334,2020-04-30,1051082.4077520585
335,2020-05-01,1027637.9907739311
336,2020-05-04,1029923.9375518706
337,2020-05-05,1038491.0013361342
338,2020-05-06,1029316.8203542917
339,2020-05-07,1040371.8106423705
340,2020-05-08,1056257.2050570017
341,2020-05-11,1052580.104470896
342,2020-05-12,1031811.3954006133
343,2020-05-13,1004137.8649028398
344,2020-05-14,1025924.4275980694
345,2020-05-15,1026676.2816209114
346,2020-05-18,1062460.3005555854
347,2020-05-19,1044804.1870348054
348,2020-05-20,1058796.1105894975
349,2020-05-21,1057574.569507025
350,2020-05-22,1059302.8528380452
351,2020-05-26,1084723.800386068
352,2020-05-27,1113706.9034630624
353,2020-05-28,1099932.983288943
354,2020-05-29,1100170.92404266
355,2020-06-01,1108164.3335190108
356,2020-06-02,1121508.967766632
357,2020-06-03,1148313.6857295304
358,2020-06-04,1147667.7539618956
359,2020-06-05,1194871.9844649308
360,2020-06-08,1221966.5673643642
361,2020-06-09,1207300.7149196838
362,2020-06-10,1193635.7274968228
363,2020-06-11,1098283.3661390282
364,2020-06-12,1124320.6820496852
365,2020-06-15,1132032.051010913
366,2020-06-16,1159289.825109601
367,2020-06-17,1150596.2678891886
368,2020-06-18,1150486.8599580599
369,2020-06-19,1136684.4783386989
370,2020-06-22,1154067.7420659293
371,2020-06-23,1162536.0355232465
372,2020-06-24,1127196.0592550498
373,2020-06-25,1142078.0897279147
374,2020-06-26,1100133.8128431651
375,2020-06-29,1137499.7276218869
376,2020-06-30,1145200.0171894091
377,2020-07-01,1140518.3291510781
378,2020-07-02,1146006.7434729168
379,2020-07-06,1171578.4012269413
380,2020-07-07,1143367.1073501841
381,2020-07-08,1157395.0343902705
382,2020-07-09,1139277.1427300426
383,2020-07-10,1153331.4731444167
384,2020-07-13,1143644.556053869
385,2020-07-14,1165663.4502409662
386,2020-07-15,1174754.9331434292
387,2020-07-16,1157801.6840492513
388,2020-07-17,1149256.6956907075
389,2020-07-20,1156441.8848742512
390,2020-07-21,1168489.6075837929
391,2020-07-22,1170978.5296468833
392,2020-07-23,1148270.3114826358
393,2020-07-24,1140677.2316259856
394,2020-07-27,1141589.2495529882
395,2020-07-28,1134949.7291894995
396,2020-07-29,1140991.5925269248
397,2020-07-30,1126572.3309776247
398,2020-07-31,1125001.4002381067
